index,BMC,BMC_solve,Control,Result,Thinned,bmc_circ_sz,bmc_dag_sz,btor_time,seahorn_total,status
anderson.3.prop1-back-serstep.btor2,8.06,7.88,dependence,FALSE,Gate,4,12623,33.048,8.70,sat
at.6.prop1-back-serstep.btor2,129.27,128.43,dependence,FALSE,Gate,4,41272,227.798,131.31,sat
blocks.4.prop1-back-serstep.btor2,,,,,,,,77.411,,
brp2.2.prop1-func-interl.btor2,0.49,0.36,dependence,TRUE,Gate,4,14505,119.066,1.20,unsat
brp2.3.prop1-back-serstep.btor2,12.71,12.30,dependence,TRUE,Gate,4,23667,93.33500000000001,13.92,unsat
brp2.6.prop3-back-serstep.btor2,6.07,5.71,dependence,TRUE,Gate,4,23674,84.686,7.26,unsat
elevator.4.prop1-func-interl.btor2,1.03,0.87,dependence,TRUE,Gate,4,18490,152.10399999999998,1.93,unsat
frogs.5.prop1-func-interl.btor2,143.25,142.86,dependence,TRUE,Gate,4,31758,185.3,144.92,unsat
krebs.3.prop1-func-interl.btor2,0.02,0.01,dependence,TRUE,Gate,6,21,3.744,0.19,unsat
mcs.3.prop1-back-serstep.btor2,,,,,,,,77.426,,
msmie.3.prop1-func-interl.btor2,,,,,,,,28.41,,
peg_solitaire.3.prop1-back-serstep.btor2,,,,,,,,21.481,,
pgm_protocol.3.prop5-func-interl.btor2,,,,,,,,32.084,,
pgm_protocol.7.prop1-back-serstep.btor2,,,,,,,,24.965,,
rushhour.4.prop1-func-interl.btor2,,,,,,,,149.132,,
